000597	东北制药集团股份有限公司
000598	成都市兴蓉环境股份有限公司
000599	青岛双星股份有限公司
000600	河北建投能源投资股份有限公司
000601	广东韶能集团股份有限公司
000603	盛达金属资源股份有限公司
000605	渤海水业股份有限公司
000607	浙江华媒控股股份有限公司
000608	阳光新业地产股份有限公司
000609	北京中迪投资股份有限公司
000610	西安旅游股份有限公司
000612	焦作万方铝业股份有限公司
000615	九州美谷科技股份有限公司
000617	中国石油集团资本股份有限公司
000619	海螺(安徽)节能环保新材料股份有限公司
000620	北京铜官盈新文化旅游发展股份有限公司
000623	吉林敖东药业集团股份有限公司
000625	重庆长安汽车股份有限公司
000626	远大产业控股股份有限公司
000628	成都高新发展股份有限公司
000629	攀钢集团钒钛资源股份有限公司
000630	铜陵有色金属集团股份有限公司
000631	顺发恒能股份公司
000632	福建三木集团股份有限公司
000633	新疆合金投资股份有限公司
000635	宁夏英力特化工股份有限公司
000636	广东风华高新科技股份有限公司
000637	茂名石化实华股份有限公司
000638	万方城镇投资发展股份有限公司
000639	西王食品股份有限公司
000650	仁和药业股份有限公司
000651	珠海格力电器股份有限公司
000652	天津泰达资源循环集团股份有限公司
000655	山东金岭矿业股份有限公司
000656	金科地产集团股份有限公司
000657	中钨高新材料股份有限公司
000659	珠海中富实业股份有限公司
000661	长春高新技术产业(集团)股份有限公司
000663	福建省永安林业(集团)股份有限公司
000665	湖北省广播电视信息网络股份有限公司
000668	荣丰控股集团股份有限公司
000669	金鸿控股集团股份有限公司
000670	盈方微电子股份有限公司
000672	甘肃上峰水泥股份有限公司
000676	智度科技股份有限公司
000677	恒天海龙股份有限公司
000678	襄阳汽车轴承股份有限公司
000679	大连友谊(集团)股份有限公司
000680	山推工程机械股份有限公司
000681	视觉(中国)文化发展股份有限公司
000682	东方电子股份有限公司
000683	内蒙古博源化工股份有限公司
000685	中山公用事业集团股份有限公司
000686	东北证券股份有限公司
000688	国城矿业股份有限公司
000690	广东宝丽华新能源股份有限公司
000691	甘肃亚太实业发展股份有限公司
000692	沈阳惠天热电股份有限公司
000695	天津滨海能源发展股份有限公司
000697	炼石航空科技股份有限公司
